127.0.0.1, 2013-09-03 01:27:26, GET, /NOUVELLES_EN_LIGNE/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000447
127.0.0.1, 2013-09-03 01:27:26, GET, /NOUVELLES_EN_LIGNE/static/images/twitter.png, HTTP/1.1, 200, 0.000303
127.0.0.1, 2013-09-03 01:27:26, GET, /NOUVELLES_EN_LIGNE/static/images/gplus-32.png, HTTP/1.1, 200, 0.000843
127.0.0.1, 2013-09-03 01:27:26, GET, /NOUVELLES_EN_LIGNE/static/images/facebook.png, HTTP/1.1, 200, 0.001751
127.0.0.1, 2013-09-03 01:27:26, GET, /NOUVELLES_EN_LIGNE/static/images/favicon.ico, HTTP/1.1, 200, 0.001676
127.0.0.1, 2013-09-03 01:27:32, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.032897
127.0.0.1, 2013-09-03 01:27:32, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000403
127.0.0.1, 2013-09-10 23:09:59, GET, /, HTTP/1.1, 303, 0.001189
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/default/index, HTTP/1.1, 200, 2.187371
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.060856
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.061082
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.060633
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.059800
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.061149
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.063480
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000857
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000475
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000568
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.016952
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001148
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000960
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001485
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001578
127.0.0.1, 2013-09-10 23:10:01, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001414
127.0.0.1, 2013-09-10 23:10:04, GET, /admin/default/index, HTTP/1.1, 200, 0.312892
127.0.0.1, 2013-09-10 23:10:04, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.144323
127.0.0.1, 2013-09-10 23:10:04, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.156006
127.0.0.1, 2013-09-10 23:10:04, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.156482
127.0.0.1, 2013-09-10 23:10:04, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.157398
127.0.0.1, 2013-09-10 23:10:04, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.178067
127.0.0.1, 2013-09-10 23:10:04, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.177581
127.0.0.1, 2013-09-10 23:10:05, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000583
127.0.0.1, 2013-09-10 23:10:05, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000261
127.0.0.1, 2013-09-10 23:10:05, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000260
127.0.0.1, 2013-09-10 23:10:05, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000321
127.0.0.1, 2013-09-10 23:10:05, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000235
127.0.0.1, 2013-09-10 23:10:05, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.028670
